,Recipe_name,Protein,Carbs,Fat
0,Spiked Vegan Eggnog,46.36 g,84.52 g,42.61 g
1,Vegan Cucumber Tea Sandwiches,41.73 g,143.91 g,73.88 g
2,Vegan Broccoli Soup Recipe,103.83 g,82.54 g,139.3 g
3,Baked Vegan Mac and Cheese Recipe,140.19 g,524.38 g,221.29 g
4,Vegan Nachos,73.05 g,266.38 g,166.64 g
5,The Best Vegan Breakfast Sandwich,143.13 g,208.42 g,189.86 g
6,{Vegan} Peanut Butter & Honey Muffins recipes,29.53 g,168.46 g,59.83 g
7,Vegan Pots de Crème,45.25 g,106.45 g,98.01 g
8,Vegan tiffin,60.38 g,272.18 g,287.22 g
9,Vegan Stovetop Lasagna,124.77 g,512.21 g,147.15 g
10,Vegan Italian Cold Cut Sandwich,54.22 g,143.1 g,81.73 g
11,Vegan Chocolate Pie,71.19 g,428.01 g,248.98 g
12,Vegan Mushroom Tea Sandwiches,36.74 g,127.18 g,60.04 g
13,Vegan Chicken Nuggets,119.69 g,80.59 g,33.4 g
14,Creamy Vegan Butternut Squash Mac And Cheese,132.14 g,453.36 g,72.61 g
15,Vegan Candied Almonds,120.98 g,530.66 g,289.27 g
16,Vegan Cinnamon Rolls Recipe,62.84 g,884.18 g,321.47 g
17,"Classic American Fare, Now In Vegan! recipes",103.83 g,82.54 g,139.3 g
18,Simple Vegan Tofu Lasagna,129.45 g,317.99 g,86.68 g
19,Vegan Stroganoff recipes,52.69 g,40.66 g,37.09 g
20,Vegan Meatballs,61.47 g,269.97 g,68.85 g
21,Vegan Pie Crust,14.53 g,107.31 g,78.16 g
22,Vegan Sesame Strugglaire’s Shortbread,55.94 g,468.46 g,400.53 g
23,Vegan Chocolate Frosting recipes,33.03 g,663.3 g,541.54 g
24,Vegan Lasagna,144.17 g,284.74 g,54.78 g
25,"The Best ""Beefy"" Vegan Burgers",86.16 g,548.23 g,129.69 g
26,Vegan Chocolate Peanut Butter Cups recipes,66.4 g,239.64 g,284.24 g
