Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g),Extraction_day,Extraction_time
paleo,Bone Broth From 'Nom Nom Paleo',american,5.22,1.29,3.2,2022-10-16,17:20:09
paleo,"Paleo Effect Asian-Glazed Pork Sides, A Sweet & Crispy Appetizer",south east asian,181.55,28.62,146.14,2022-10-16,17:20:09
paleo,Paleo Pumpkin Pie,american,30.91,302.59,96.76,2022-10-16,17:20:09
paleo,Strawberry Guacamole recipes,mexican,9.62,75.78,59.89,2022-10-16,17:20:09
paleo,"Asian Cauliflower Fried ""Rice"" From 'Nom Nom Paleo'",chinese,39.84,54.08,71.55,2022-10-16,17:20:09
paleo,Paleo Shrimp-Stuffed Mushrooms recipes,mediterranean,68.62,34.15,42.44,2022-10-16,17:20:09
paleo,Paleo Pumpkin Pie recipes,american,30.03,275.88,97.68,2022-10-16,17:20:09
paleo,Autoimmune Paleo Pesto,italian,4.25,14.15,72.9,2022-10-16,17:20:09
paleo,Baked Banana Chip Encrusted French Toast,french,152.88,1874.52,385.8,2022-10-16,17:20:09
paleo,Vietnamese Pho Pressure Cooker (Noodle Soup),south east asian,602.91,274.87,400.01,2022-10-16,17:20:09
paleo,Paleo Collard Burrito,mexican,44.62,28.66,78.46,2022-10-16,17:20:09
paleo,Paleo Chawanmushi (Savory Egg Custard) recipes,american,61.43,13.29,24.6,2022-10-16,17:20:09
paleo,‘paleo' banana bread,american,46.69,192.54,156.48,2022-10-16,17:20:09
paleo,Leftover Turkey Sandwich recipes,american,54.09,34.97,14.1,2022-10-16,17:20:16
paleo,Paleo Pumpkin Waffles,american,51.24,89.63,78.38,2022-10-16,17:20:16
paleo,Fudgy Paleo Brownies,french,64.29,263.65,176.36,2022-10-16,17:20:16
paleo,Magic Wings recipes,american,320.76,28.36,252.82,2022-10-16,17:20:16
paleo,Turkey Club Sandwich,american,46.92,39.94,19.6,2022-10-16,17:20:16
paleo,Easy Paleo Meatloaf,american,185.99,47.82,260.64,2022-10-16,17:20:16
paleo,Paleo Crepes,french,15.73,15.91,49.16,2022-10-16,17:20:16
paleo,Chocolate Pecan Pie recipes,american,59.86,567.39,320.76,2022-10-16,17:20:16
paleo,Simple Crab Salad recipes,american,82.1,4.75,20.24,2022-10-16,17:20:16
paleo,Chocolate Pecan Pie,american,54.7,503.39,320.12,2022-10-16,17:20:16
paleo,Asian Meatballs recipes,indian,167.07,55.11,210.14,2022-10-16,17:20:16
paleo,Blueberry French Toast Casserole,french,78.59,290.1,84.95,2022-10-16,17:20:16
paleo,Paleo Spanish Rice,mediterranean,28.67,64.13,37.71,2022-10-16,17:20:23
paleo,Whole30® Sriracha,south east asian,12.16,85.78,2.91,2022-10-16,17:20:23
paleo,Banana Cream Pie,american,17.85,215.69,304.25,2022-10-16,17:20:23
paleo,Spicy Salmon Cucumber Bites recipes,nordic,49.84,17.2,75.62,2022-10-16,17:20:23
paleo,Blueberry French Toast Casserole recipes,french,78.59,290.1,84.95,2022-10-16,17:20:23
paleo,Paleo Honey Cake,eastern europe,87.32,258.25,259.21,2022-10-16,17:20:23
paleo,Chocolate Pumpkin Pie recipes,central europe,44.05,429.69,162.78,2022-10-16,17:20:23
paleo,Paleo Creamy Alfredo,american,16.48,32.46,91.36,2022-10-16,17:20:23
paleo,Paleo Blini recipes,eastern europe,15.5,12.78,23.29,2022-10-16,17:20:23
paleo,Paleo Tzimmes,kosher,16.11,236.88,3.86,2022-10-16,17:20:23
paleo,Paleo Pumpkin Bars,american,39.73,169.01,117.95,2022-10-16,17:20:23
paleo,Paleo Fruitcake,american,82.45,271.48,204.91,2022-10-16,17:20:23
paleo,Paleo Chocolate Frosting,american,14.19,85.18,150.26,2022-10-16,17:20:23
paleo,Paleo Crepes recipes,french,27.38,9.57,61.87,2022-10-16,17:20:29
paleo,Paleo Peach Crisp,french,39.58,126.88,97.83,2022-10-16,17:20:29
paleo,Paleo Pumpkin Bars,american,36.27,182.51,105.1,2022-10-16,17:20:29
paleo,Paleo Honey Cake,american,87.32,258.25,259.24,2022-10-16,17:20:29
paleo,Paleo Carrot Soup,american,27.17,116.73,125.14,2022-10-16,17:20:29
paleo,Paleo Fruitcake recipes,american,85.97,271.68,207.57,2022-10-16,17:20:29
paleo,Best Paleo Chili,american,193.11,83.93,227.24,2022-10-16,17:20:36
paleo,Perfect Paleo Pizza,italian,123.47,75.65,235.87,2022-10-16,17:20:36
paleo,Grain-Free Cauliflower Fried Rice recipes,chinese,37.54,56.92,53.88,2022-10-16,17:20:36
paleo,Paleo Chocolate Frosting recipes,american,7.27,112.19,269.91,2022-10-16,17:20:36
paleo,Paleo Eggplant Lasagna,italian,172.17,186.26,467.17,2022-10-16,17:20:36
paleo,Paleo Pecan Tart Crust,american,20.15,24.96,111.99,2022-10-16,17:20:36
paleo,Paleo Shepherd’s Pie,american,189.35,143.25,300.66,2022-10-16,17:20:36
paleo,Paleo Pie Crust recipes,american,56.39,43.01,143.87,2022-10-16,17:20:36
paleo,Paleo Mug Cake recipes,british,10.48,19.56,12.5,2022-10-16,17:20:36
paleo,Paleo Flourless Chocolate Cake,american,83.82,384.27,324.34,2022-10-16,17:20:36
paleo,Mini Paleo Egg Bites,american,118.36,6.54,61.57,2022-10-16,17:20:36
paleo,Egg-Free Paleo Macaroons,french,9.91,99.09,110.51,2022-10-16,17:20:36
paleo,Paleo Raw Chocolate Bites,american,46.07,261.6,147.5,2022-10-16,17:20:36
paleo,Paleo Mushroom Soup recipes,french,60.19,112.58,52.61,2022-10-16,17:20:43
paleo,Paleo Birthday Cake recipes,american,68.21,199.96,161.13,2022-10-16,17:20:43
paleo,Paleo Avocado Tuna Salad,mexican,32.45,24.27,31.05,2022-10-16,17:20:43
paleo,Paleo Honey Cake recipes,eastern europe,90.83,258.46,261.91,2022-10-16,17:20:43
paleo,Paleo Pumpkin Bars recipes,american,49.0,412.09,116.03,2022-10-16,17:20:43
paleo,Perfect Paleo Baked Salmon,nordic,161.95,1.17,160.83,2022-10-16,17:20:43
paleo,Chocolate Mousse (Paleo! Keto!),french,20.23,126.01,153.36,2022-10-16,17:20:43
paleo,Crab + Avocado Temaki recipes,caribbean,88.79,32.66,55.58,2022-10-16,17:20:50
paleo,Red Cabbage Slaw with Tangy Carrot Ginger Dressing recipes,american,9.65,42.63,83.92,2022-10-16,17:20:50
paleo,Paleo Prosciutto Egg Cups,italian,80.95,6.34,113.98,2022-10-16,17:20:50
paleo,Paleo Chicken Adobo recipes,mediterranean,123.17,61.52,107.7,2022-10-16,17:20:50
paleo,Cranberry Apple Stuffing,american,47.89,285.93,93.75,2022-10-16,17:20:50
paleo,Paleo Dirty Rice recipes,caribbean,26.68,80.75,35.37,2022-10-16,17:20:50
paleo,Slow-Cooker Paleo Meatballs,eastern europe,145.6,102.25,144.33,2022-10-16,17:20:50
paleo,Delicata Squash Stuffed with Spiced Meat and Tomatoes (serves 2) and a side of Sauteed Chard recipes,italian,100.74,92.07,360.57,2022-10-16,17:20:50
paleo,Paleo Pork Chili Verde,american,107.7,68.02,28.69,2022-10-16,17:20:50
paleo,Paleo Steak and Egg Salad,american,65.19,17.09,69.97,2022-10-16,17:20:50
paleo,Easy Paleo Beef with Broccoli,mediterranean,102.5,38.41,98.85,2022-10-16,17:20:50
paleo,Paleo Party Pork Carnitas,mexican,268.92,128.88,334.28,2022-10-16,17:20:50
paleo,Paleo Pecan Tart Crust recipes,american,21.03,25.01,112.66,2022-10-16,17:20:50
paleo,Paleo Shepherd's Pie recipes,american,189.35,143.25,300.66,2022-10-16,17:20:50
paleo,Paleo Vanilla Birthday Cake recipes,french,71.11,159.31,147.25,2022-10-16,17:20:56
paleo,Egg-Free Paleo Macaroons recipes,french,10.16,105.7,110.51,2022-10-16,17:20:56
paleo,Paleo Raw Chocolate Bites recipes,american,46.07,261.6,147.5,2022-10-16,17:20:56
paleo,Perfect Paleo Pie Crust recipes,american,43.97,104.37,160.83,2022-10-16,17:20:56
paleo,Practical Paleo: Mint Chip Truffles,american,3.76,23.94,80.65,2022-10-16,17:20:56
paleo,Cindy's Paleo Harvest Chili,american,210.45,139.56,272.52,2022-10-16,17:20:56
paleo,Instant Pot Paleo Pork Tenderloin,french,362.76,16.83,64.04,2022-10-16,17:20:56
paleo,Paleo Pecan-Crusted Chicken | everydaypaleo.com,american,258.66,55.59,103.91,2022-10-16,17:20:56
paleo,Entertain Meatloaf Style,american,197.94,70.1,110.07,2022-10-16,17:20:56
paleo,Semi-Homemade Paleo Spaghetti And Meatballs,italian,128.54,366.81,166.72,2022-10-16,17:20:56
paleo,Easy Paleo Herb Gravy recipes,french,23.56,39.05,42.25,2022-10-16,17:21:04
paleo,Homemade Mayo (Paleo and Whole30 Friendly!),italian,2.81,1.11,112.61,2022-10-16,17:21:04
paleo,Paleo and Vegan Pesto stuffed mushrooms,american,10.73,15.5,49.29,2022-10-16,17:21:04
paleo,Paleo Un-Stuffed Cabbage Soup,italian,141.27,55.82,198.73,2022-10-16,17:21:04
paleo,Sweet Potato Chili (Paleo-Friendly!),american,98.56,191.3,176.93,2022-10-16,17:21:04
paleo,Paleo Dirty Cauliflower ‘Rice’ Recipe,mediterranean,26.68,80.75,35.37,2022-10-16,17:21:04
paleo,Spicy Paleo Pumpkin Muffins recipes,british,121.84,413.93,317.39,2022-10-16,17:21:04
paleo,Paleo Cauliflower Bacon Fried Rice Recipe,chinese,28.76,50.01,48.09,2022-10-16,17:21:04
paleo,Paleo Beef and Sweet Potato Stew,american,200.82,153.82,102.62,2022-10-16,17:21:04
paleo,Paleo Comfort Foods’ Poached Pears recipes,french,9.82,214.27,3.04,2022-10-16,17:21:04
paleo,Madras Chicken Salad recipes,mediterranean,150.18,41.36,123.75,2022-10-16,17:21:04
paleo,Slow Cooker Cheater Pork Stew recipes,french,244.29,69.44,249.9,2022-10-16,17:21:04
paleo,Strawberry Rhubarb Crisp - and it's paleo. recipes,american,32.24,250.87,139.25,2022-10-16,17:21:04
paleo,Paleo Pasta Salad with Avocado Oil Vinaigrette,french,31.23,74.97,116.67,2022-10-16,17:21:04
paleo,The Paleo Diet’s Salmon Caesar Salad Recipe,nordic,155.95,49.31,150.25,2022-10-16,17:21:04
paleo,"Eggplant ""Ricotta"" Stacks From 'Nom Nom Paleo'",italian,32.32,157.39,194.11,2022-10-16,17:21:11
paleo,Southwest Cowboy Chili From 'Nom Nom Paleo',american,430.2,138.37,178.17,2022-10-16,17:21:11
paleo,Swiss Paleo’s Homemade Italian & Chorizo Sausage,italian,1273.61,83.34,1608.54,2022-10-16,17:21:11
paleo,Paleo Doritos Toast Will Scratch Your Snack Itch,american,32.75,22.67,2.45,2022-10-16,17:21:11
paleo,"Paleo Pumpkin, Coconut, & Maple Custard Cups recipes",american,36.0,142.79,107.74,2022-10-16,17:21:11
paleo,Paleo Spaghetti Squash and Amped Up Meatballs,italian,128.33,154.22,125.77,2022-10-16,17:21:11
paleo,Swiss Paleo’s Bugs Bunny Hasenpfeffer Stew recipes,nordic,65.78,96.23,130.86,2022-10-16,17:21:11
paleo,The Paleo Kitchen’s Honey Mustard Chicken Thighs recipes,french,152.56,53.59,205.36,2022-10-16,17:21:11
paleo,Stupid Easy Paleo’s Kickin’ BBQ Shredded Chicken recipes,american,283.7,78.55,252.1,2022-10-16,17:21:11
paleo,Paleo-Friendly Roasted Butternut Squash with Crispy Sage Leaves,nordic,6.45,66.8,42.58,2022-10-16,17:21:11
paleo,Orange Sriracha Chicken recipes,south east asian,104.17,82.97,64.82,2022-10-16,17:21:11
paleo,Overnight Cherry Chia Seed Pudding – Paleo/Gluten Free/Vegan,american,12.77,112.92,56.84,2022-10-16,17:21:11
paleo,Paleo Pumpkin Gingerbread Cake with Maple-Vanilla Frosting recipes,american,73.83,185.59,307.46,2022-10-16,17:21:11
paleo,"Sweet Potato & Pork Thanksgiving Stuffing (Paleo, Gluten-Free) recipes",american,197.91,312.15,371.5,2022-10-16,17:21:11
paleo,Paleo Comfort Food? Here’s A Creamy Shrimp Fra Diavolo recipes,italian,102.47,51.64,54.82,2022-10-16,17:21:11
paleo,"Instant Pot Buffalo Sweet Potato Soup {Vegan, Whole30, Paleo, Gluten-Free}",american,14.26,79.07,109.53,2022-10-16,17:21:11
paleo,Dill Butternut Squash Fries,american,7.68,89.2,14.38,2022-10-16,17:21:11
paleo,Crispy Sweet Potato Fries,south american,4.4,56.19,28.84,2022-10-16,17:21:18
paleo,Rosemary and Garlic Parsnip Mash,american,3.34,48.53,13.6,2022-10-16,17:21:18
paleo,Four Layer Beef and Bacon Casserole,american,213.63,149.66,298.56,2022-10-16,17:21:18
paleo,Boston Baked Beef,american,135.99,193.85,232.95,2022-10-16,17:21:18
paleo,Nutella Brownie Truffles,french,12.21,151.95,98.75,2022-10-16,17:21:18
paleo,Best Ever Bars,american,62.76,194.9,266.67,2022-10-16,17:21:18
paleo,Salmon Cakes,nordic,86.31,11.17,66.45,2022-10-16,17:21:18
paleo,Crockpot Italian Chicken and Peppers,italian,86.07,84.94,43.04,2022-10-16,17:21:18
