Diet_type,Recipe_name,Cuisine_type,Protein(g),Carbs(g),Fat(g)
vegan,Spiked Vegan Eggnog,american,46.36,84.52,42.61
vegan,Vegan Cucumber Tea Sandwiches,american,41.73,143.91,73.88
vegan,Vegan Broccoli Soup Recipe,american,103.83,82.54,139.3
vegan,Baked Vegan Mac and Cheese Recipe,american,140.19,524.38,221.29
vegan,Vegan Nachos,american,73.05,266.38,166.64
vegan,The Best Vegan Breakfast Sandwich,american,143.13,208.42,189.86
vegan,{Vegan} Peanut Butter & Honey Muffins recipes,american,29.53,168.46,59.83
vegan,Vegan Pots de Crème,american,45.25,106.45,98.01
vegan,Vegan tiffin,american,60.38,272.18,287.22
vegan,Vegan Stovetop Lasagna,american,124.77,512.21,147.15
vegan,Vegan Italian Cold Cut Sandwich,american,54.22,143.1,81.73
vegan,Vegan Chocolate Pie,american,71.19,428.01,248.98
vegan,Vegan Mushroom Tea Sandwiches,american,36.74,127.18,60.04
vegan,Vegan Chicken Nuggets,american,119.69,80.59,33.4
vegan,Creamy Vegan Butternut Squash Mac And Cheese,american,132.14,453.36,72.61
vegan,Vegan Candied Almonds,american,120.98,530.66,289.27
vegan,Vegan Cinnamon Rolls Recipe,american,62.84,884.18,321.47
vegan,"Classic American Fare, Now In Vegan! recipes",american,103.83,82.54,139.3
vegan,Simple Vegan Tofu Lasagna,asian,129.45,317.99,86.68
vegan,Vegan Stroganoff recipes,american,52.69,40.66,37.09
vegan,Vegan Meatballs,american,61.47,269.97,68.85
vegan,Vegan Pie Crust,american,14.53,107.31,78.16
vegan,Vegan Sesame Strugglaire’s Shortbread,american,55.94,468.46,400.53
vegan,Vegan Chocolate Frosting recipes,american,33.03,663.3,541.54
vegan,Vegan Lasagna,american,144.17,284.74,54.78
vegan,"The Best ""Beefy"" Vegan Burgers",american,86.16,548.23,129.69
vegan,Vegan Chocolate Peanut Butter Cups recipes,american,66.4,239.64,284.24
vegan,Vegan Pumpkin Pie,american,42.83,344.63,121.93
vegan,Vegan Scallops,american,31.9,66.68,13.49
vegan,Vegan Caesar Salad Dressing,american,28.01,37.29,67.87
vegan,Vegan (Or Not) Peach Creamsicle Sherbet,american,55.03,439.96,52.51
vegan,Vegan pizza Margherita,italian,113.8,391.09,97.24
vegan,Vegan Classic Cheesecake,american,105.08,635.06,243.29
vegan,Vegan Chocolate-Dipped Frozen Banana Bites,american,29.04,178.5,73.99
vegan,Vegan brownies,french,56.1,486.28,195.65
vegan,Vegan Spinach and Mushroom Lasagna,american,161.61,304.45,175.45
vegan,Vegan Pumpkin Pull-Apart Loaf,american,55.62,662.7,93.64
vegan,Vegan Potato Salad,american,20.77,129.36,26.85
vegan,Vegan white pizza,american,74.83,374.84,36.75
vegan,Vegan Macaroni Salad,american,42.07,170.89,42.08
vegan,Asparagus and Arugula Pizza with Vegan Pesto,italian,24.25,80.63,40.53
vegan,Vegan Eton mess,american,46.27,297.82,26.19
vegan,Vegan Cornbread Stuffing,american,64.42,421.16,91.7
vegan,Vegan potato salad,american,21.37,121.44,48.19
vegan,Vegan French Onion Dip,american,57.38,134.68,188.77
vegan,Vegan Jambalaya,american,49.54,220.02,59.7
vegan,Vegan Meyer Lemon Poppyseed Shortbread,american,37.78,425.18,271.62
vegan,Vegan bolognese,american,80.8,335.2,27.94
vegan,Vegan Creamy Coleslaw,american,6.76,40.99,68.13
vegan,Vegan chocolate ice cream,american,34.96,284.85,220.65
vegan,Vegan Ginger Sticky Date Pudding & Cardamom Toffee,british,43.95,859.11,287.58
vegan,‘Cheesy’ vegan scones,american,68.49,279.16,49.72
vegan,Vegan Mushroom Stroganoff,american,50.67,221.8,68.92
vegan,Vegan Fig Galette,american,52.72,880.99,346.35
vegan,Vegan fry-up,american,100.27,167.06,279.46
vegan,Traditional Vegan Caesar Salad,american,46.34,126.68,66.66
vegan,Vegan Mushroom Bolognese,american,57.26,229.43,36.96
vegan,Vegan White Peach Mug Cobbler With Cardamom,american,5.51,70.81,16.13
vegan,Easy vegan tacos,american,26.13,153.72,15.67
vegan,Gluten-Free Walnut & Portobello Mushroom Vegan Burgers,american,34.55,97.14,30.74
vegan,Vegan Cauliflower Alfredo Bake,american,114.36,389.31,28.11
vegan,Zesty Italian Vegan Meatballs,american,55.19,100.02,66.46
vegan,Vegan lasagne,american,169.83,604.54,100.68
vegan,Gluten-Free Walnut & Portobello Mushroom Vegan Burgers,american,37.37,99.68,42.81
vegan,Carrot Cake With Vegan Cream Cheese Frosting,american,74.47,1032.32,465.91
vegan,Vegan Pizza,american,35.92,223.73,71.83
vegan,Vegan moussaka,american,129.49,548.31,119.91
vegan,Vegan Sushi Burger,japanese,24.23,198.01,32.0
vegan,Vegan Brownies recipes,french,35.2,405.49,129.47
vegan,Beefless Vegan Tacos,american,57.67,132.69,72.92
vegan,Vegan Chocolate and Raspberry Panna Cotta,american,33.99,158.29,73.24
vegan,Vegan Pav-Bhaji,american,17.71,99.41,32.22
vegan,Vegan toffee apple upside-down cake,american,33.97,422.06,151.76
vegan,Vegan BLATs (BLTs with Avocado),american,41.62,119.38,71.62
vegan,Vegan rhubarb & custard bake,american,39.49,531.36,211.22
vegan,Vegan Pasta Pie,american,71.56,310.5,39.6
vegan,Vegan Eggplant Parmesan,american,53.02,221.99,68.26
vegan,Vegan Creme Brulee Buttermilk Cupcakes,american,41.75,1133.7,415.07
vegan,Bean and Potato Vegan Enchiladas recipes,american,65.85,324.88,152.74
vegan,Vegan Blueberry Pie,american,27.46,448.09,131.15
vegan,Cinnamon Sugar Vegan Donuts,american,14.41,411.22,64.83
vegan,Vegan pie,american,102.33,552.11,240.21
vegan,The best gluten-free vegan pesto pasta,american,227.6,502.31,462.82
vegan,Spicy Thai Vegan Burger,south east asian,80.51,190.71,52.97
vegan,Vegan Kale And Leek Bake recipes,american,40.32,217.22,141.53
vegan,Vegan Quinoa Lentil Curry Burger,american,40.15,136.6,18.22
vegan,Vegan Chocolate Cheesecake,american,107.55,859.49,382.54
vegan,Vegan Cauliflower Buffalo Wings,american,52.39,263.63,47.66
vegan,Vegan Mac and Cheese recipes,american,166.81,444.38,25.66
vegan,Vegan Shepherd's Pie,american,106.76,425.81,101.91
vegan,Vegan Lemon Vanilla Cupcakes with Lemon Buttercream Frosting,american,27.77,619.26,207.28
vegan,Vegan Chocolate Cheesecake,american,98.03,714.56,314.5
vegan,Spicy Thai Vegan Burger,american,80.51,190.71,52.97
vegan,Vegan Sweet Potato Biscuits,american,54.63,448.19,138.11
vegan,Vegan Banana Chocolate Chip Muffins,american,36.93,418.54,106.0
vegan,Vegan Thai green curry,south east asian,43.56,247.53,57.67
vegan,Vegan Black Bean Burgers,american,70.79,256.3,113.3
vegan,Vegan Cream Of Broccoli Soup,american,75.06,161.94,111.21
vegan,Vegan Lentil Burgers,american,84.93,331.31,43.1
vegan,Vegan Sweet Potato & Pear Soup,american,11.66,164.77,28.96
vegan,Classic Vegan Date Bars,american,70.29,1101.77,331.04
vegan,Gluten-Free Vegan Creole Jalapeno Hush Puppies,american,37.11,384.44,135.66
vegan,Vegan Cream Of Mushroom Soup With Not So Vegan Herb Bread,american,71.33,222.41,121.53
